d,k,p,dataset,type,recall,precision,f-score
300,5000,14,cityu,train,0,0,0
300,5000,14,cityu,test,0.746,0.704,0.724
300,5000,14,msr,train,0,0,0
300,5000,14,msr,test,0.798,0.732,0.764
300,5000,14,pku,train,0,0,0
300,5000,14,pku,test,0.778,0.746,0.761
300,2000,14,as,train,0,0,0
300,2000,14,as,test,0.757,0.741,0.749
300,2000,14,cityu,train,0,0,0
300,2000,14,cityu,test,0.745,0.708,0.726
300,2000,14,msr,train,0,0,0
300,2000,14,msr,test,0.797,0.733,0.764
300,2000,14,pku,train,0,0,0
300,2000,14,pku,test,0.776,0.744,0.760
300,1500,14,as,train,0,0,0
300,1500,14,as,test,0.758,0.742,0.750
300,1500,14,cityu,train,0,0,0
300,1500,14,cityu,test,0.748,0.713,0.730
300,1500,14,msr,train,0,0,0
300,1500,14,msr,test,0.796,0.735,0.764
300,1500,14,pku,train,0,0,0
300,1500,14,pku,test,0.775,0.745,0.760
300,1000,14,as,train,0,0,0
300,1000,14,as,test,0.752,0.735,0.743
300,1000,14,cityu,train,0,0,0
300,1000,14,cityu,test,0.744,0.709,0.726
300,1000,14,msr,train,0,0,0
300,1000,14,msr,test,0.792,0.731,0.760
300,1000,14,pku,train,0,0,0
300,1000,14,pku,test,0.771,0.741,0.756
300,500,14,as,train,0,0,0
300,500,14,as,test,0.720,0.696,0.708
300,500,14,cityu,train,0,0,0
300,500,14,cityu,test,0.713,0.677,0.695
300,500,14,msr,train,0,0,0
300,500,14,msr,test,0.762,0.699,0.729
300,500,14,pku,train,0,0,0
300,500,14,pku,test,0.754,0.724,0.739
300,100,14,as,train,0,0,0
300,100,14,as,test,0.602,0.567,0.584
300,100,14,cityu,train,0,0,0
300,100,14,cityu,test,0.619,0.576,0.597
300,100,14,msr,train,0,0,0
300,100,14,msr,test,0.608,0.538,0.571
300,100,14,pku,train,0,0,0
300,100,14,pku,test,0.641,0.601,0.620
300,50,14,as,train,0,0,0
300,50,14,as,test,0.599,0.563,0.580
300,50,14,cityu,train,0,0,0
300,50,14,cityu,test,0.582,0.539,0.560
300,50,14,msr,train,0,0,0
300,50,14,msr,test,0.589,0.518,0.552
300,50,14,pku,train,0,0,0
300,50,14,pku,test,0.576,0.532,0.553
300,10,14,as,train,0,0,0
300,10,14,as,test,0.602,0.566,0.583
300,10,14,cityu,train,0,0,0
300,10,14,cityu,test,0.572,0.531,0.551
300,10,14,msr,train,0,0,0
300,10,14,msr,test,0.581,0.510,0.543
300,10,14,pku,train,0,0,0
300,10,14,pku,test,0.575,0.532,0.553
300,5000,16,as,train,0,0,0
300,5000,16,as,test,0.760,0.736,0.748
300,5000,16,cityu,train,0,0,0
300,5000,16,cityu,test,0.747,0.704,0.725
300,5000,16,msr,train,0,0,0
300,5000,16,msr,test,0.798,0.730,0.762
300,5000,16,pku,train,0,0,0
300,5000,16,pku,test,0.779,0.745,0.762
300,2000,16,as,train,0,0,0
300,2000,16,as,test,0.760,0.740,0.750
300,2000,16,cityu,train,0,0,0
300,2000,16,cityu,test,0.746,0.706,0.726
300,2000,16,msr,train,0,0,0
300,2000,16,msr,test,0.797,0.731,0.762
300,2000,16,pku,train,0,0,0
300,2000,16,pku,test,0.776,0.743,0.759
300,1500,16,as,train,0,0,0
300,1500,16,as,test,0.761,0.742,0.751
300,1500,16,cityu,train,0,0,0
300,1500,16,cityu,test,0.749,0.713,0.730
300,1500,16,msr,train,0,0,0
300,1500,16,msr,test,0.796,0.731,0.762
300,1500,16,pku,train,0,0,0
300,1500,16,pku,test,0.776,0.745,0.760
300,1000,16,as,train,0,0,0
300,1000,16,as,test,0.755,0.734,0.744
300,1000,16,cityu,train,0,0,0
300,1000,16,cityu,test,0.747,0.709,0.727
300,1000,16,msr,train,0,0,0
300,1000,16,msr,test,0.792,0.729,0.759
300,1000,16,pku,train,0,0,0
300,1000,16,pku,test,0.772,0.740,0.755
300,500,16,as,train,0,0,0
300,500,16,as,test,0.724,0.695,0.709
300,500,16,cityu,train,0,0,0
300,500,16,cityu,test,0.716,0.676,0.696
300,500,16,msr,train,0,0,0
300,500,16,msr,test,0.763,0.696,0.728
300,500,16,pku,train,0,0,0
300,500,16,pku,test,0.755,0.722,0.738
300,100,16,as,train,0,0,0
300,100,16,as,test,0.609,0.570,0.589
300,100,16,cityu,train,0,0,0
300,100,16,cityu,test,0.621,0.573,0.596
300,100,16,msr,train,0,0,0
300,100,16,msr,test,0.611,0.536,0.571
300,100,16,pku,train,0,0,0
300,100,16,pku,test,0.641,0.596,0.617
300,50,16,as,train,0,0,0
300,50,16,as,test,0.606,0.564,0.584
300,50,16,cityu,train,0,0,0
300,50,16,cityu,test,0.588,0.540,0.563
300,50,16,msr,train,0,0,0
300,50,16,msr,test,0.593,0.517,0.553
300,50,16,pku,train,0,0,0
300,50,16,pku,test,0.580,0.531,0.554
300,10,16,as,train,0,0,0
300,10,16,as,test,0.607,0.566,0.586
300,10,16,cityu,train,0,0,0
300,10,16,cityu,test,0.572,0.527,0.548
300,10,16,msr,train,0,0,0
300,10,16,msr,test,0.582,0.506,0.542
300,10,16,pku,train,0,0,0
300,10,16,pku,test,0.578,0.530,0.553
300,5000,18,as,train,0,0,0
300,5000,18,as,test,0.761,0.734,0.747
300,5000,18,cityu,train,0,0,0
300,5000,18,cityu,test,0.748,0.702,0.724
300,5000,18,msr,train,0,0,0
300,5000,18,msr,test,0.797,0.725,0.759
300,5000,18,pku,train,0,0,0
300,5000,18,pku,test,0.780,0.744,0.761
300,2000,18,as,train,0,0,0
300,2000,18,as,test,0.763,0.739,0.751
300,2000,18,cityu,train,0,0,0
300,2000,18,cityu,test,0.747,0.705,0.726
300,2000,18,msr,train,0,0,0
300,2000,18,msr,test,0.796,0.728,0.760
300,2000,18,pku,train,0,0,0
300,2000,18,pku,test,0.776,0.741,0.758
300,1500,18,as,train,0,0,0
300,1500,18,as,test,0.763,0.741,0.752
300,1500,18,cityu,train,0,0,0
300,1500,18,cityu,test,0.749,0.710,0.729
300,1500,18,msr,train,0,0,0
300,1500,18,msr,test,0.796,0.728,0.761
300,1500,18,pku,train,0,0,0
300,1500,18,pku,test,0.775,0.742,0.758
300,1000,18,as,train,0,0,0
300,1000,18,as,test,0.757,0.732,0.744
300,1000,18,cityu,train,0,0,0
300,1000,18,cityu,test,0.748,0.707,0.727
300,1000,18,msr,train,0,0,0
300,1000,18,msr,test,0.791,0.724,0.756
300,1000,18,pku,train,0,0,0
300,1000,18,pku,test,0.772,0.738,0.755
300,500,18,as,train,0,0,0
300,500,18,as,test,0.726,0.693,0.709
300,500,18,cityu,train,0,0,0
300,500,18,cityu,test,0.719,0.676,0.696
300,500,18,msr,train,0,0,0
